wo_id,month,sku,component,plan_usage_kg,actual_usage_kg,unit_cost_rmb,variance_pct
WO00037,2024-10,FWD417,合成云母,4.5143,4.6003,48.52,0.13
WO01548,2024-10,FWD306WR,珠光粉基材,3.3045,3.2415,22.86,-0.01
WO01548,2024-10,FWD306WR,分散剂,2.9679,3.081,75.6,0.07
WO01548,2024-10,FWD306WR,色料,2.6007,2.5512,40.98,0.03
WO01548,2024-10,FWD306WR,合成云母,1.0097,0.952,47.67,-0.01
WO01547,2025-05,FWD152WR,钛白粉,0.4356,0.4107,32.82,0.12
WO01547,2025-05,FWD152WR,合成云母,3.9823,3.7168,9.05,-0.07
WO01547,2025-05,FWD152WR,云母粉,11.3246,10.6775,40.66,0.02
WO02299,2024-11,FWD425B,分散剂,4.3054,4.4694,11.86,0.04
WO02299,2024-11,FWD425B,合成云母,2.33,2.3744,55.81,0.09
WO01992,2025-03,FWD524,色料,4.8018,4.9389,58.95,0.04
WO01992,2025-03,FWD524,珠光粉基材,0.4116,0.3763,25.64,-0.08
WO01992,2025-03,FWD524,合成云母,12.6218,11.6601,26.1,-0.03
WO00535,2025-09,FWD231,合成云母,4.6078,4.2568,48.56,0.07
WO00535,2025-09,FWD231,分散剂,6.8727,6.48,59.57,-0.08
WO00535,2025-09,FWD231,色料,7.2242,7.4994,25.5,0.07
WO02057,2025-06,FWD5893,包装材料,0.9582,0.8852,38.56,0.0
WO02057,2025-06,FWD5893,珠光粉基材,0.1622,0.1467,67.2,-0.09
WO02057,2025-06,FWD5893,分散剂,2.6536,2.603,16.3,0.14
WO01954,2025-09,FWD3504,色料,1.0642,1.044,55.67,-0.01
WO01954,2025-09,FWD3504,珠光粉基材,1.8349,1.765,75.48,-0.09
WO01954,2025-09,FWD3504,钛白粉,1.7003,1.7651,38.59,0.15
WO01367,2025-03,FWDD21L,色料,13.8772,12.9521,59.11,-0.07
WO01367,2025-03,FWDD21L,分散剂,5.843,5.843,56.67,-0.03
WO01367,2025-03,FWDD21L,云母粉,3.5058,3.3723,64.74,0.09
WO02044,2025-09,FWD418B,包装材料,0.5212,0.5212,70.98,0.04
WO02044,2025-09,FWD418B,合成云母,1.5636,1.4593,7.13,-0.02
WO02044,2025-09,FWD418B,珠光粉基材,1.6274,1.5344,38.6,0.06
WO01440,2024-10,FWD215,云母粉,3.0054,3.1485,79.11,-0.07
WO01440,2024-10,FWD215,钛白粉,3.9698,3.7051,56.34,-0.05
WO01440,2024-10,FWD215,分散剂,3.9025,3.6795,28.46,-0.03
WO01178,2025-04,BHC9320YB,分散剂,1.1853,1.2191,31.24,0.11
WO01178,2025-04,BHC9320YB,合成云母,0.6206,0.6442,71.37,0.05
WO00906,2025-05,FWD6007,色料,0.6022,0.5678,59.99,0.02
WO00906,2025-05,FWD6007,珠光粉基材,2.216,2.3004,76.72,0.01
WO00906,2025-05,FWD6007,合成云母,2.0715,2.0518,78.25,0.09
WO00906,2025-05,FWD6007,云母粉,1.3368,1.3114,42.98,-0.05
WO00096,2025-09,FWD6881,钛白粉,8.657,8.9043,16.01,-0.1
WO00096,2025-09,FWD6881,合成云母,7.2607,6.5692,45.16,0.06
WO01273,2025-04,FWD524,钛白粉,0.5452,0.4984,47.48,-0.06
WO01273,2025-04,FWD524,色料,0.2998,0.3055,6.2,0.11
WO01273,2025-04,FWD524,珠光粉基材,1.7718,1.6199,27.51,0.1
WO01273,2025-04,FWD524,云母粉,1.0358,0.9766,7.84,0.12
WO01046,2025-04,BHC9320YB,钛白粉,5.7763,5.9413,76.56,0.11
WO01046,2025-04,BHC9320YB,色料,5.1294,5.2759,51.85,-0.09
WO01046,2025-04,BHC9320YB,合成云母,3.6506,3.6159,65.15,-0.05
WO01046,2025-04,BHC9320YB,珠光粉基材,5.3142,5.1118,77.48,-0.1
WO02414,2024-12,FWD505,云母粉,4.6554,4.6998,77.56,0.1
WO02414,2024-12,FWD505,色料,3.6903,3.5497,17.42,-0.08
WO02414,2024-12,FWD505,合成云母,4.258,3.9741,55.75,0.03
WO02414,2024-12,FWD505,分散剂,3.4632,3.2983,25.12,0.08
WO01708,2025-11,FWD491,云母粉,1.6806,1.6646,68.73,0.07
WO01708,2025-11,FWD491,合成云母,3.3827,3.3183,77.0,0.08
WO01154,2025-10,FWD500,云母粉,0.6836,0.677,43.56,-0.01
WO01154,2025-10,FWD500,包装材料,2.8156,2.7888,58.22,-0.08
WO01154,2025-10,FWD500,分散剂,1.6926,1.5475,33.16,0.03
WO00323,2025-10,HM010AS,色料,6.2725,5.6752,73.67,-0.06
WO00323,2025-10,HM010AS,包装材料,2.9165,2.8054,44.24,0.05
WO00323,2025-10,HM010AS,分散剂,5.913,6.0256,74.25,-0.01
WO00323,2025-10,HM010AS,珠光粉基材,2.517,2.3492,38.22,-0.05
WO01296,2024-12,FWDV095B,珠光粉基材,3.1641,3.0435,8.88,-0.05
WO01296,2024-12,FWDV095B,合成云母,5.5788,5.5788,79.4,-0.07
WO01296,2024-12,FWDV095B,云母粉,2.04,1.9428,45.69,0.08
WO01296,2024-12,FWDV095B,钛白粉,7.9102,7.9855,64.53,-0.08
WO00307,2025-10,FWD429,合成云母,1.6938,1.6938,75.96,-0.01
WO00307,2025-10,FWD429,包装材料,5.5894,5.4829,50.66,-0.03
WO02488,2025-05,FWD436 ,合成云母,1.2459,1.1984,30.64,0.02
WO02488,2025-05,FWD436 ,珠光粉基材,0.7527,0.7456,51.52,-0.03
WO02488,2025-05,FWD436 ,钛白粉,3.0109,2.7241,53.2,0.05
WO00520,2025-09,FWDV150B,分散剂,3.0064,3.035,77.63,0.06
WO00520,2025-09,FWDV150B,钛白粉,5.9376,6.1072,11.49,-0.04
WO01350,2025-09,FWD524WR,色料,1.6667,1.7302,6.82,0.08
WO01350,2025-09,FWD524WR,分散剂,1.7611,1.8281,7.52,-0.02
WO01350,2025-09,FWD524WR,钛白粉,0.7862,0.7712,47.69,0.03
WO01601,2024-12,FWDD23L,珠光粉基材,0.8915,0.8745,61.15,0.11
WO01601,2024-12,FWDD23L,钛白粉,0.4978,0.5215,31.31,0.07
WO00546,2025-09,FWD205A,珠光粉基材,4.6033,4.5595,49.85,0.14
WO00546,2025-09,FWD205A,云母粉,0.569,0.5473,23.4,0.11
WO00546,2025-09,FWD205A,包装材料,3.0517,3.0807,61.08,-0.06
WO00546,2025-09,FWD205A,色料,3.0775,2.931,63.23,-0.06
WO00429,2025-09,FWDD10Y,合成云母,0.7699,0.7625,65.08,-0.01
WO00429,2025-09,FWDD10Y,珠光粉基材,0.5369,0.5267,32.42,0.04
WO00429,2025-09,FWDD10Y,钛白粉,0.7343,0.7064,65.39,0.05
WO00200,2025-11,FWD201,包装材料,8.5407,7.9713,36.96,-0.02
WO00200,2025-11,FWD201,分散剂,3.486,3.6188,13.0,0.1
WO01006,2025-01,FWD901KSW,包装材料,3.6939,3.4828,9.22,0.1
WO01006,2025-01,FWD901KSW,合成云母,12.0421,11.5834,42.81,0.05
WO01180,2025-05,FWD152WR,色料,0.2049,0.2049,55.21,0.11
WO01180,2025-05,FWD152WR,钛白粉,0.214,0.1936,6.45,0.1
WO01180,2025-05,FWD152WR,包装材料,0.1266,0.1145,76.25,0.09
WO01180,2025-05,FWD152WR,分散剂,0.3014,0.3042,76.0,-0.03
WO01249,2025-04,FWD235,色料,3.4965,3.3966,14.75,0.15
WO01249,2025-04,FWD235,合成云母,2.6938,2.5142,65.59,0.08
WO01249,2025-04,FWD235,分散剂,2.5154,2.4195,23.56,0.11
WO00608,2025-11,FWD224,合成云母,1.5274,1.4256,73.34,0.15
WO00608,2025-11,FWD224,钛白粉,4.4061,4.0704,32.37,0.1
WO01591,2025-10,FWDD23X,珠光粉基材,2.3716,2.2812,18.67,0.06
WO01591,2025-10,FWDD23X,钛白粉,9.4165,8.6093,61.09,-0.08
WO01591,2025-10,FWDD23X,合成云母,11.9275,11.2459,72.12,-0.01
WO01591,2025-10,FWDD23X,色料,7.3239,7.1147,70.3,-0.0
WO00338,2025-10,FWDV060B,分散剂,8.1625,7.8515,43.75,0.01
WO00338,2025-10,FWDV060B,合成云母,2.9995,3.0566,33.59,-0.07
WO00338,2025-10,FWDV060B,珠光粉基材,4.1796,4.3388,45.5,0.05
WO01989,2025-05,FWD430,包装材料,1.4485,1.4761,55.22,0.13
WO01989,2025-05,FWD430,合成云母,1.7004,1.6842,55.82,-0.05
WO01035,2025-11,FWDV150B,云母粉,0.8379,0.8699,75.29,0.07
WO01035,2025-11,FWDV150B,合成云母,0.2537,0.2562,52.3,0.14
WO01035,2025-11,FWDV150B,包装材料,0.5606,0.5286,26.32,-0.04
WO01035,2025-11,FWDV150B,钛白粉,0.8261,0.7947,64.4,0.13
WO01065,2025-04,FWD7504,珠光粉基材,5.0198,5.0676,34.6,0.11
WO01065,2025-04,FWD7504,钛白粉,4.3308,4.0008,64.47,0.14
WO00533,2025-06,FWD491,分散剂,1.303,1.1789,61.07,-0.03
WO00533,2025-06,FWD491,云母粉,0.7677,0.7238,42.93,0.14
WO00533,2025-06,FWD491,合成云母,0.6162,0.6338,37.61,-0.08
WO00533,2025-06,FWD491,珠光粉基材,1.505,1.5337,68.12,0.13
WO02059,2024-12,FWD503,珠光粉基材,3.3265,3.1997,45.34,0.08
WO02059,2024-12,FWD503,分散剂,2.1593,2.2415,58.51,-0.01
WO02059,2024-12,FWD503,包装材料,1.2547,1.2786,52.58,0.12
WO00709,2025-06,FWD7331,珠光粉基材,7.8208,7.3739,27.47,0.14
WO00709,2025-06,FWD7331,云母粉,3.7366,3.8434,30.93,0.1
WO00709,2025-06,FWD7331,钛白粉,2.4766,2.3115,68.61,0.1
WO00709,2025-06,FWD7331,包装材料,1.0428,1.0726,70.78,0.02
WO02013,2025-07,FWD6840,分散剂,1.0609,1.0407,20.17,-0.02
WO02013,2025-07,FWD6840,合成云母,1.7417,1.7417,12.58,-0.01
WO02013,2025-07,FWD6840,色料,1.0134,0.9748,49.46,0.1
WO01664,2024-11,FWD510,云母粉,5.7881,5.5125,25.62,-0.02
WO01664,2024-11,FWD510,包装材料,2.9603,2.7348,44.06,0.03
WO01664,2024-11,FWD510,珠光粉基材,1.0604,1.0099,23.77,-0.03
WO01664,2024-11,FWD510,色料,0.8395,0.7835,44.59,0.14
WO00295,2025-03,FWD6018T,云母粉,1.3975,1.3709,68.82,0.03
WO00295,2025-03,FWD6018T,钛白粉,0.7846,0.7995,24.17,0.13
WO00295,2025-03,FWD6018T,合成云母,4.1925,3.9928,63.75,0.01
WO00994,2025-11,FWD6504,云母粉,6.9497,6.4864,68.43,-0.03
WO00994,2025-11,FWD6504,珠光粉基材,4.6797,4.858,60.31,0.01
WO00351,2025-06,BHC9230YBH,云母粉,4.3727,4.3311,69.42,0.14
WO00351,2025-06,BHC9230YBH,色料,0.9565,0.9019,20.19,0.09
WO00351,2025-06,BHC9230YBH,珠光粉基材,4.0994,3.9042,9.75,-0.09
WO01860,2025-10,FWD219WR,钛白粉,0.3934,0.4122,33.12,0.05
WO01860,2025-10,FWD219WR,合成云母,1.141,1.0975,73.29,0.09
WO01860,2025-10,FWD219WR,分散剂,1.9934,1.9744,65.67,0.02
WO01860,2025-10,FWD219WR,珠光粉基材,1.7836,1.7666,61.17,-0.05
WO01386,2025-05,FWD535,云母粉,3.9483,3.8354,16.79,-0.06
WO01386,2025-05,FWD535,珠光粉基材,8.7938,8.0401,40.71,0.14
WO01386,2025-05,FWD535,分散剂,8.9284,8.3332,10.8,-0.02
WO01386,2025-05,FWD535,色料,7.8516,8.0012,71.91,-0.04
WO00143,2024-12,FWD6018,钛白粉,0.9263,0.9086,43.52,-0.06
WO00143,2024-12,FWD6018,珠光粉基材,12.3268,12.092,69.09,0.12
WO00143,2024-12,FWD6018,包装材料,0.4988,0.4845,5.35,-0.03
WO00028,2025-04,FWD410,珠光粉基材,1.3642,1.3382,34.0,-0.07
WO00028,2025-04,FWD410,钛白粉,0.4575,0.4444,32.15,0.12
WO00028,2025-04,FWD410,云母粉,1.5603,1.5454,57.99,0.01
WO00028,2025-04,FWD410,色料,1.5194,1.5773,56.24,-0.09
WO02194,2024-10,FWD5894,云母粉,6.003,6.003,30.64,0.03
WO02194,2024-10,FWD5894,包装材料,0.412,0.3845,44.34,-0.09
WO02194,2024-10,FWD5894,钛白粉,1.3536,1.3923,46.06,0.1
WO02194,2024-10,FWD5894,色料,8.4159,7.8548,33.79,-0.04
WO00050,2025-07,FWD173,包装材料,4.8904,4.8904,66.64,0.01
WO00050,2025-07,FWD173,分散剂,4.8007,4.4349,71.31,0.02
WO00050,2025-07,FWD173,色料,0.673,0.673,14.2,-0.0
WO00050,2025-07,FWD173,合成云母,5.0699,4.6836,15.24,0.07
WO00054,2025-02,FWD425,云母粉,3.1032,2.985,61.51,0.09
WO00054,2025-02,FWD425,包装材料,0.5763,0.5489,29.7,0.08
WO01634,2025-06,FWD6215,云母粉,6.5306,6.2818,13.3,-0.08
WO01634,2025-06,FWD6215,分散剂,8.7825,9.0335,34.2,0.08
WO01634,2025-06,FWD6215,包装材料,7.2813,7.4199,26.31,0.09
WO01634,2025-06,FWD6215,合成云母,12.6859,11.4777,67.24,-0.02
WO00140,2025-01,FWD111WR,钛白粉,12.3908,11.2108,35.17,0.09
WO00140,2025-01,FWD111WR,合成云母,5.9889,6.16,43.72,-0.1
WO00140,2025-01,FWD111WR,珠光粉基材,1.2391,1.2509,74.5,-0.04
WO00057,2024-11,FWDD28X,包装材料,0.3092,0.2974,62.41,-0.08
WO00057,2024-11,FWDD28X,珠光粉基材,0.2534,0.2606,17.18,0.08
WO00057,2024-11,FWDD28X,色料,0.1975,0.1975,44.5,-0.04
WO00057,2024-11,FWDD28X,分散剂,0.6656,0.6783,20.24,-0.06
WO01365,2025-07,FWD101WR,分散剂,2.8318,2.697,31.72,0.02
WO01365,2025-07,FWD101WR,色料,1.2136,1.1212,23.18,0.03
WO01365,2025-07,FWD101WR,钛白粉,0.4912,0.4585,49.57,-0.02
WO00148,2024-12,FWD330,包装材料,1.3466,1.2953,14.09,0.01
WO00148,2024-12,FWD330,珠光粉基材,2.2179,2.1546,25.52,0.08
WO00148,2024-12,FWD330,钛白粉,4.2378,4.2782,51.18,-0.08
WO00148,2024-12,FWD330,色料,2.1387,2.2406,78.95,0.14
WO00199,2024-10,FWDV150B,分散剂,5.7346,5.4615,44.38,0.03
WO00199,2024-10,FWDV150B,云母粉,6.5687,6.6313,59.75,-0.03
WO00760,2024-11,FWDD21M,色料,4.5224,4.307,66.73,0.09
WO00760,2024-11,FWDD21M,包装材料,7.5975,7.2358,71.24,0.02
WO00760,2024-11,FWDD21M,钛白粉,5.7886,5.4578,13.56,0.02
WO01770,2024-10,FWDD29L,色料,0.7795,0.7795,78.07,-0.04
WO01770,2024-10,FWDD29L,包装材料,0.3069,0.2836,55.25,-0.02
WO01770,2024-10,FWDD29L,合成云母,0.5408,0.5047,72.49,-0.03
WO01770,2024-10,FWDD29L,珠光粉基材,0.3508,0.3207,49.05,-0.05
WO01026,2025-05,FWD508,分散剂,4.1048,4.0657,35.74,-0.06
WO01026,2025-05,FWD508,色料,0.5526,0.5263,62.55,-0.03
WO01026,2025-05,FWD508,云母粉,12.0777,11.1575,32.66,0.09
WO00839,2025-08,FWD6003,分散剂,4.1216,3.9253,24.18,0.15
WO00839,2025-08,FWD6003,合成云母,0.8993,0.925,47.87,0.14
WO01007,2025-04,FWD7351,包装材料,8.3908,7.9913,53.31,0.13
WO01007,2025-04,FWD7351,珠光粉基材,7.2043,6.724,49.57,0.0
WO01007,2025-04,FWD7351,钛白粉,5.1701,5.1701,36.01,0.14
WO01007,2025-04,FWD7351,云母粉,5.382,5.1257,49.08,-0.01
WO00366,2025-10,FWD5518,包装材料,0.2838,0.2757,15.76,-0.04
WO00366,2025-10,FWD5518,合成云母,0.2426,0.2195,78.41,0.04
WO00777,2025-08,FWD6603B,包装材料,1.0864,1.0346,60.21,0.08
WO00777,2025-08,FWD6603B,钛白粉,3.7703,3.8421,58.99,-0.0
WO02190,2025-07,FWD323,合成云母,8.4685,8.6298,63.68,0.07
WO02190,2025-07,FWD323,珠光粉基材,9.5463,9.9099,7.06,0.03
WO02190,2025-07,FWD323,钛白粉,9.2383,9.6782,66.12,0.15
WO02190,2025-07,FWD323,云母粉,1.4627,1.5045,62.61,0.0
WO00761,2025-01,FWD219,云母粉,12.3836,12.3836,59.29,0.11
WO00761,2025-01,FWD219,钛白粉,9.4868,8.8544,30.99,0.03
WO00761,2025-01,FWD219,合成云母,13.6147,13.096,31.28,0.08
WO00761,2025-01,FWD219,包装材料,13.325,12.4367,30.77,0.01
WO01390,2025-10,FWD231,包装材料,5.0789,4.5952,30.19,0.08
WO01390,2025-10,FWD231,云母粉,2.6422,2.6422,19.53,-0.08
WO01390,2025-10,FWD231,钛白粉,4.2569,3.892,49.34,0.03
WO01390,2025-10,FWD231,色料,4.6092,4.6092,8.14,-0.07
WO01384,2025-05,FWD5871A,钛白粉,4.9891,5.1791,50.47,-0.02
WO01384,2025-05,FWD5871A,云母粉,3.2869,3.2556,77.88,-0.1
WO01857,2025-02,FWD6860,合成云母,0.7757,0.7018,78.37,-0.03
WO01857,2025-02,FWD6860,云母粉,3.0016,3.1445,6.97,0.08
WO01857,2025-02,FWD6860,钛白粉,2.2596,2.3457,60.64,0.02
WO00076,2024-10,FWD123T,分散剂,8.9445,8.9445,51.85,-0.08
WO00076,2024-10,FWD123T,云母粉,2.4436,2.2341,67.18,-0.1
WO00076,2024-10,FWD123T,合成云母,2.3053,2.3711,50.58,0.09
WO00076,2024-10,FWD123T,珠光粉基材,2.4436,2.3505,74.73,-0.09
WO01573,2025-02,FWD6885,钛白粉,2.3033,2.391,41.57,0.07
WO01573,2025-02,FWD6885,分散剂,4.7505,4.9315,22.04,0.15
WO01573,2025-02,FWD6885,合成云母,4.3474,4.4717,21.69,0.08
WO01573,2025-02,FWD6885,云母粉,2.9079,2.6863,46.27,0.01
WO01457,2024-11,FWD6219,珠光粉基材,2.4257,2.1947,10.1,-0.07
WO01457,2024-11,FWD6219,分散剂,1.0861,1.0551,53.78,-0.06
WO02479,2025-05,FWD6502,合成云母,0.745,0.6882,43.84,0.03
WO02479,2025-05,FWD6502,云母粉,0.3477,0.3245,33.85,0.09
WO02479,2025-05,FWD6502,色料,0.7134,0.7405,28.6,0.05
WO02479,2025-05,FWD6502,珠光粉基材,0.2212,0.2297,46.74,0.14
WO02385,2025-10,FWD152,色料,1.6455,1.5672,28.51,0.06
WO02385,2025-10,FWD152,云母粉,1.2533,1.1459,11.17,0.02
WO02385,2025-10,FWD152,包装材料,0.972,1.009,15.08,-0.05
WO00027,2024-11,FWD6002,合成云母,4.7982,5.0267,72.23,0.12
WO00027,2024-11,FWD6002,云母粉,5.5326,5.0057,16.54,0.04
WO01258,2024-10,FWD3504,分散剂,2.6772,2.6262,22.57,0.07
WO01258,2024-10,FWD3504,色料,4.581,4.6246,38.42,0.08
WO02161,2025-06,FWD111MT,包装材料,10.8033,9.9802,53.31,-0.0
WO02161,2025-06,FWD111MT,钛白粉,5.2617,5.412,26.78,0.01
WO02161,2025-06,FWD111MT,分散剂,5.9894,5.7612,11.78,0.09
WO01398,2025-11,FWDV080,云母粉,1.0341,0.975,7.16,0.1
WO01398,2025-11,FWDV080,珠光粉基材,1.3742,1.3873,70.4,0.07
WO01398,2025-11,FWDV080,钛白粉,0.1527,0.1527,78.6,0.08
WO01398,2025-11,FWDV080,包装材料,0.7426,0.7356,70.25,0.13
WO02235,2025-10,BHC89237BG,合成云母,2.1485,2.0053,21.0,-0.04
WO02235,2025-10,BHC89237BG,色料,2.1485,1.9848,28.52,-0.08
WO02235,2025-10,BHC89237BG,包装材料,5.4835,5.4835,68.2,-0.02
WO02235,2025-10,BHC89237BG,云母粉,6.0286,5.7415,22.95,0.05
WO02208,2025-02,FWD151WR,分散剂,1.7259,1.693,34.49,-0.1
WO02208,2025-02,FWD151WR,色料,0.5205,0.5403,45.71,0.08
WO02208,2025-02,FWD151WR,钛白粉,1.8902,1.8542,9.76,0.01
WO00708,2025-04,FWD505,分散剂,0.7926,0.785,44.5,-0.09
WO00708,2025-04,FWD505,色料,2.4451,2.4684,40.02,0.01
WO00708,2025-04,FWD505,云母粉,0.5228,0.4879,60.37,0.07
WO00708,2025-04,FWD505,包装材料,3.2208,3.3129,23.32,-0.02
WO01623,2025-03,FWD120,包装材料,5.6058,5.2855,36.45,0.05
WO01623,2025-03,FWD120,钛白粉,2.3695,2.3469,41.74,0.08
WO02436,2025-05,FWD153,云母粉,3.3083,3.4343,9.02,-0.07
WO02436,2025-05,FWD153,合成云母,6.1669,6.3431,35.29,0.11
WO01165,2025-10,FWD5800,云母粉,3.4457,3.1504,14.11,0.1
WO01165,2025-10,FWD5800,包装材料,5.1686,4.8732,73.84,-0.07
WO01165,2025-10,FWD5800,分散剂,2.109,2.0488,40.23,0.13
WO02118,2025-09,FWD4012,钛白粉,3.1764,3.1159,24.6,0.02
WO02118,2025-09,FWD4012,色料,1.7592,1.7425,36.31,0.13
WO02118,2025-09,FWD4012,云母粉,0.6353,0.6655,15.6,0.06
WO02304,2025-09,FWD217,合成云母,2.4166,2.3475,28.37,-0.01
WO02304,2025-09,FWD217,钛白粉,7.6364,7.7091,18.97,-0.03
WO02304,2025-09,FWD217,色料,4.5432,4.4134,28.2,0.02
WO00934,2025-01,FWD530,合成云母,4.5557,4.4689,12.71,0.0
WO00934,2025-01,FWD530,珠光粉基材,6.051,6.1663,5.55,0.04
WO00934,2025-01,FWD530,分散剂,2.3648,2.2071,79.18,0.07
WO00205,2025-01,FWD522WR,云母粉,8.2637,8.3424,68.33,-0.07
WO00205,2025-01,FWD522WR,包装材料,4.5383,4.1925,53.55,-0.03
WO00205,2025-01,FWD522WR,合成云母,13.3439,13.8522,31.82,-0.03
WO00205,2025-01,FWD522WR,珠光粉基材,5.1479,4.7066,55.42,0.05
WO00797,2025-09,FWDV095,珠光粉基材,9.4424,9.0827,55.4,0.1
WO00797,2025-09,FWDV095,分散剂,4.354,3.9808,47.87,-0.1
WO00797,2025-09,FWDV095,钛白粉,7.449,6.9524,66.29,0.12
WO00909,2025-09,BHC89232BR,珠光粉基材,11.7974,10.8985,24.61,0.04
WO00909,2025-09,BHC89232BR,分散剂,0.6514,0.608,73.79,-0.08
WO00909,2025-09,BHC89232BR,钛白粉,5.1387,4.943,17.58,0.02
WO00909,2025-09,BHC89232BR,包装材料,5.4282,5.1697,55.49,-0.09
WO02224,2025-10,FWD219WR,珠光粉基材,1.2225,1.2458,20.88,0.04
WO02224,2025-10,FWD219WR,分散剂,0.4735,0.487,12.16,0.15
WO02224,2025-10,FWD219WR,合成云母,0.6855,0.6789,5.04,-0.04
WO02224,2025-10,FWD219WR,钛白粉,0.2968,0.2798,69.34,0.05
WO00381,2025-08,FWDD25L,分散剂,1.5255,1.3948,32.98,0.09
WO00381,2025-08,FWDD25L,合成云母,8.5984,8.4346,47.06,-0.02
WO00381,2025-08,FWDD25L,云母粉,6.6568,6.7202,8.32,0.08
WO00712,2025-07,FWD302WR,钛白粉,1.8471,1.6887,55.79,0.05
WO00712,2025-07,FWD302WR,珠光粉基材,0.851,0.8024,19.22,0.06
WO00712,2025-07,FWD302WR,分散剂,0.5802,0.5747,5.95,0.01
WO01434,2024-12,FWD6850,分散剂,3.1622,3.1019,13.0,0.05
WO01434,2024-12,FWD6850,云母粉,0.4054,0.3977,29.19,-0.01
WO01434,2024-12,FWD6850,珠光粉基材,1.9054,1.978,24.93,-0.09
WO01434,2024-12,FWD6850,色料,5.1892,4.9915,53.37,0.04
WO00325,2024-10,FWD6003,合成云母,1.9637,1.8889,54.37,0.11
WO00325,2024-10,FWD6003,云母粉,5.9348,5.8782,60.04,-0.06
WO00402,2025-10,FWD5519,色料,7.7768,7.6286,67.39,-0.06
WO00402,2025-10,FWD5519,珠光粉基材,6.24,5.7646,11.78,0.13
WO00402,2025-10,FWD5519,分散剂,4.9362,4.8891,13.01,-0.05
WO00402,2025-10,FWD5519,合成云母,2.9803,3.0939,63.26,0.11
WO01987,2025-10,FWD3112,合成云母,3.9829,4.0208,44.61,0.04
WO01987,2025-10,FWD3112,色料,1.6443,1.5034,38.78,-0.06
WO01987,2025-10,FWD3112,包装材料,0.6943,0.6414,23.34,-0.06
WO01310,2025-08,FWD5892,分散剂,10.1571,9.8669,79.17,-0.02
WO01310,2025-08,FWD5892,包装材料,10.3385,10.0431,38.4,-0.03
WO01635,2025-10,FWDD29L,包装材料,2.9072,2.8795,15.93,0.02
WO01635,2025-10,FWDD29L,色料,3.0336,3.0047,30.06,0.09
WO01635,2025-10,FWDD29L,云母粉,9.3535,8.819,11.15,0.07
WO01635,2025-10,FWDD29L,珠光粉基材,0.8848,0.8511,12.91,0.15
WO01078,2025-11,FWD411,珠光粉基材,10.3357,10.0404,22.8,-0.08
WO01078,2025-11,FWD411,分散剂,11.1265,11.0205,66.41,0.01
WO01078,2025-11,FWD411,包装材料,6.6081,6.6081,55.81,0.14
WO01078,2025-11,FWD411,合成云母,6.0998,6.216,45.57,-0.03
WO00956,2024-12,FWD6163,色料,1.8837,1.9555,23.66,-0.06
WO00956,2024-12,FWD6163,分散剂,1.2935,1.2935,6.81,0.12
WO00956,2024-12,FWD6163,包装材料,2.3358,2.1801,28.29,-0.02
WO00956,2024-12,FWD6163,合成云母,2.499,2.618,70.82,-0.0
WO00422,2025-10,FWD3302,包装材料,0.5992,0.5992,31.63,0.08
WO00422,2025-10,FWD3302,色料,0.191,0.1747,14.02,0.11
WO00422,2025-10,FWD3302,云母粉,0.2345,0.2367,17.35,0.14
WO01666,2025-07,FWD122,色料,0.8662,0.8085,11.46,-0.06
WO01666,2025-07,FWD122,钛白粉,0.5082,0.513,22.96,0.02
WO01666,2025-07,FWD122,包装材料,1.8826,1.7751,74.24,-0.03
WO01666,2025-07,FWD122,分散剂,1.1088,1.0243,65.23,-0.08
WO02244,2025-06,FWD103,分散剂,0.9855,1.0043,21.48,0.02
WO02244,2025-06,FWD103,云母粉,3.2522,3.0354,62.9,-0.02
WO02244,2025-06,FWD103,珠光粉基材,2.1682,2.0856,36.55,-0.02
WO01132,2024-10,FWD532,包装材料,3.7632,3.6915,64.81,-0.04
WO01132,2024-10,FWD532,色料,5.2685,5.419,8.54,0.06
WO01132,2024-10,FWD532,钛白粉,4.6664,4.7997,58.01,0.04
WO02135,2025-08,FWDV155,合成云母,0.8559,0.8233,62.71,0.15
WO02135,2025-08,FWDV155,包装材料,0.0778,0.08,48.67,-0.07
WO02135,2025-08,FWDV155,钛白粉,0.5387,0.5284,44.26,0.09
WO02135,2025-08,FWDV155,色料,0.383,0.3721,38.02,0.0
WO00724,2025-08,FWD6002,包装材料,2.0708,2.0708,71.94,0.12
WO00724,2025-08,FWD6002,色料,2.3037,2.1062,19.16,-0.09
WO00853,2025-03,FWD504,色料,4.1807,3.8223,18.06,-0.02
WO00853,2025-03,FWD504,珠光粉基材,1.5794,1.4891,17.32,0.04
WO00853,2025-03,FWD504,分散剂,8.6865,8.4383,48.54,0.08
WO00853,2025-03,FWD504,合成云母,2.0439,1.8882,41.06,0.14
WO00633,2025-07,FWD534WR,色料,3.3344,3.1439,30.69,-0.09
WO00633,2025-07,FWD534WR,包装材料,5.647,5.4857,20.35,-0.05
WO01153,2025-09,FWDD23X,色料,1.5725,1.4227,31.8,0.09
WO01153,2025-09,FWDD23X,分散剂,0.3511,0.321,39.9,-0.07
WO02492,2025-04,FWD3302,钛白粉,4.5218,4.3496,14.78,0.13
WO02492,2025-04,FWD3302,合成云母,3.4562,3.2916,48.77,0.1
WO02492,2025-04,FWD3302,珠光粉基材,5.5299,5.4772,68.64,0.08
