month,week,production_line,planned_hours,actual_hours,utilization_rate,downtime_hours,downtime_reason,output_kg
2024-10,3,产线-08,44.0,44.0,1.0,3.5,维护,1303.9
2024-10,4,产线-08,41.4,31.5,0.76,1.0,无,1063.0
2024-11,1,产线-08,38.6,34.7,0.9,1.4,换线,1778.5
2024-11,2,产线-08,40.4,40.0,0.99,2.7,待料,1558.6
2024-11,3,产线-08,38.5,27.3,0.71,0.5,无,955.3
2024-11,4,产线-08,45.6,35.1,0.77,1.8,无,1098.6
2024-12,1,产线-08,38.8,28.3,0.73,3.2,无,1206.7
2024-12,2,产线-08,43.6,38.4,0.88,4.0,无,1295.3
2024-12,3,产线-08,43.9,43.9,1.0,3.9,无,1793.3
2024-12,4,产线-08,46.5,45.1,0.97,2.8,维护,930.6
2025-01,1,产线-08,41.0,30.8,0.75,0.1,无,1022.1
2025-01,2,产线-08,45.0,32.0,0.71,2.8,无,931.0
2025-01,3,产线-08,40.2,33.8,0.84,3.8,无,1090.8
2025-01,4,产线-08,38.4,28.0,0.73,3.6,无,851.3
2025-02,1,产线-08,47.3,34.6,0.73,3.6,无,2045.8
2025-02,2,产线-08,43.5,37.4,0.86,2.8,无,1205.7
2025-02,3,产线-08,43.3,32.9,0.76,3.0,无,1659.1
2025-02,4,产线-08,37.3,37.3,1.0,2.9,无,1979.4
2025-03,1,产线-08,45.4,42.2,0.93,2.1,无,2408.2
2025-03,2,产线-08,45.5,35.9,0.79,0.8,无,2064.6
2025-03,3,产线-08,44.1,32.7,0.74,2.8,无,1010.6
2025-03,4,产线-08,42.3,39.3,0.93,3.1,维护,1024.5
2025-04,1,产线-08,42.1,35.8,0.85,0.8,待料,975.4
2025-04,2,产线-08,37.5,28.5,0.76,2.9,无,1543.5
2025-04,3,产线-08,41.9,30.6,0.73,1.8,无,1764.0
2025-04,4,产线-08,38.9,29.2,0.75,0.1,换线,621.8
2025-05,1,产线-08,37.2,26.8,0.72,2.9,维护,1011.1
2025-05,2,产线-08,42.2,37.1,0.88,2.0,换线,1166.1
2025-05,3,产线-08,43.9,41.3,0.94,3.5,维护,2077.3
2025-05,4,产线-08,45.2,40.3,0.89,0.5,换线,991.1
2025-06,1,产线-08,39.7,29.8,0.75,2.9,无,1638.0
2025-06,2,产线-08,42.7,30.7,0.72,1.9,换线,1494.8
2025-06,3,产线-08,48.0,39.8,0.83,1.3,无,970.1
2025-06,4,产线-08,37.0,34.4,0.93,4.0,无,1985.1
2025-07,1,产线-08,40.6,36.5,0.9,2.9,无,1379.0
2025-07,2,产线-08,43.3,30.8,0.71,2.7,换线,1828.1
2025-07,3,产线-08,39.6,36.0,0.91,2.1,无,1751.0
2025-07,4,产线-08,39.9,39.1,0.98,1.6,换线,2224.7
2025-08,1,产线-08,44.7,44.2,0.99,1.6,待料,1481.8
2025-08,2,产线-08,47.4,37.5,0.79,3.5,换线,1938.0
2025-08,3,产线-08,38.1,27.0,0.71,0.7,维护,1102.9
2025-08,4,产线-08,42.2,31.7,0.75,1.5,待料,1614.7
2025-09,1,产线-08,39.0,37.0,0.95,1.2,维护,935.2
2025-09,2,产线-08,39.3,36.6,0.93,3.0,无,2016.0
2025-09,3,产线-08,45.8,34.3,0.75,2.3,无,1347.9
2025-09,4,产线-08,42.4,32.2,0.76,0.6,维护,924.1
2025-10,1,产线-08,38.0,31.5,0.83,2.8,无,1285.3
2025-10,2,产线-08,37.8,28.7,0.76,2.7,维护,1498.7
2025-10,3,产线-08,41.0,33.3,0.81,0.0,无,971.9
2025-10,4,产线-08,47.7,34.8,0.73,2.1,换线,1209.4
2025-11,1,产线-08,43.8,32.4,0.74,1.1,无,1667.2
2025-11,2,产线-08,45.4,39.5,0.87,3.2,无,1140.9
2025-11,3,产线-08,36.9,33.2,0.9,1.7,维护,947.7
2025-11,4,产线-08,38.0,31.9,0.84,2.2,维护,1641.6
