wo_id,month,plan_date,complete_date,sku,production_line,plan_qty,actual_qty,efficiency,scrap_qty,status,shift
WO00524,2025-06,2025-06-15,2025-06-17,FWD301,产线-01,2019,1837,0.91,40,生产中,早班
WO00525,2025-08,2025-08-10,2025-08-23,FWD5872C,产线-05,1402,1290,0.92,24,已完成,夜班
WO00526,2024-11,2024-11-27,2024-11-29,FWD6005T,产线-04,4204,4036,0.96,69,生产中,早班
WO00527,2024-10,2024-10-25,2024-10-31,FWDV060B,产线-03,4322,4279,0.99,44,计划,早班
WO00528,2025-07,2025-07-17,2025-07-19,FWD435,产线-03,1362,1308,0.96,16,已完成,中班
WO00529,2025-09,2025-09-04,2025-09-15,FWD5519,产线-04,5748,5231,0.91,99,已完成,夜班
WO00530,2025-02,2025-02-22,2025-02-27,FWD5874A,产线-01,1133,1042,0.92,22,已完成,中班
WO00531,2025-06,2025-06-21,2025-07-04,FWD353,产线-06,2910,2386,0.82,45,生产中,夜班
WO00532,2025-05,2025-05-12,2025-05-14,FWD355,产线-01,480,475,0.99,5,已完成,中班
WO00533,2025-06,2025-06-07,2025-06-17,FWD491,产线-03,1159,962,0.83,23,已完成,夜班
WO00534,2025-04,2025-04-14,2025-04-25,FWD407,产线-04,4679,4632,0.99,52,已完成,早班
WO00535,2025-09,2025-09-28,2025-10-07,FWD231,产线-03,4132,3719,0.9,27,计划,早班
WO00536,2025-09,2025-09-02,2025-09-05,FWD6007,产线-03,7726,6722,0.87,75,已完成,夜班
WO00537,2024-12,2024-12-21,2024-12-28,FWD530,产线-08,3248,3118,0.96,32,生产中,中班
WO00538,2025-11,2025-11-05,2025-11-14,FWD6504A,产线-01,3748,3298,0.88,63,已完成,夜班
WO00539,2025-09,2025-09-16,2025-09-24,FWD216,产线-02,5677,5620,0.99,48,已完成,中班
WO00540,2025-02,2025-02-04,2025-02-15,FWD425B,产线-08,2197,1911,0.87,0,已完成,夜班
WO00541,2025-11,2025-11-25,2025-12-09,FWD506,产线-03,4096,3686,0.9,36,已完成,夜班
WO00542,2025-10,2025-10-28,2025-11-10,FWD355,产线-07,4966,4469,0.9,23,计划,早班
WO00543,2025-02,2025-02-16,2025-02-17,FWD103,产线-03,2971,2555,0.86,39,已完成,中班
WO00544,2025-10,2025-10-14,2025-10-21,FWD119,产线-07,7479,6731,0.9,14,已完成,中班
WO00545,2024-10,2024-10-16,2024-10-20,FWD7322,产线-08,7891,6550,0.83,9,计划,夜班
WO00546,2025-09,2025-09-26,2025-10-10,FWD205A,产线-02,2968,2463,0.83,47,已完成,夜班
WO00547,2025-10,2025-10-10,2025-10-24,FWD211,产线-02,5274,5274,1.0,92,计划,中班
WO00548,2025-10,2025-10-03,2025-10-05,FWD509,产线-07,688,660,0.96,11,生产中,中班
WO00549,2024-11,2024-11-18,2024-11-21,FWD7504,产线-04,1152,1048,0.91,21,已完成,早班
WO00550,2025-09,2025-09-07,2025-09-17,BHC89234BG,产线-02,1005,915,0.91,0,已完成,中班
WO00551,2025-05,2025-05-10,2025-05-12,FWDD27M,产线-08,1141,958,0.84,14,已完成,中班
WO00552,2025-01,2025-01-08,2025-01-19,FWD509,产线-08,7817,6254,0.8,35,计划,早班
WO00553,2025-01,2025-01-04,2025-01-06,FWD5873A,产线-04,6170,4998,0.81,114,已完成,夜班
WO00554,2025-07,2025-07-18,2025-07-27,FWD205WR,产线-04,2523,2397,0.95,2,计划,夜班
WO00555,2025-01,2025-01-13,2025-01-19,BHC89237BG,产线-06,6505,5594,0.86,109,计划,早班
WO00556,2025-02,2025-02-09,2025-02-18,BHC9320YB,产线-06,6904,5592,0.81,137,生产中,夜班
WO00557,2024-11,2024-11-23,2024-11-27,FWD402,产线-03,6009,5468,0.91,74,已完成,早班
WO00558,2025-07,2025-07-28,2025-08-04,FWD5518,产线-01,5893,5304,0.9,24,已完成,夜班
WO00559,2025-07,2025-07-09,2025-07-23,FWD355,产线-03,5798,4638,0.8,29,生产中,早班
WO00560,2025-10,2025-10-14,2025-10-18,FWD6830,产线-08,3428,2777,0.81,1,已完成,夜班
WO00561,2025-06,2025-06-17,2025-07-01,FWDD23X,产线-07,3547,2909,0.82,42,已完成,夜班
WO00562,2024-11,2024-11-05,2024-11-11,FWDV060,产线-08,1876,1613,0.86,21,已完成,早班
WO00563,2025-02,2025-02-22,2025-03-05,FWD6300T,产线-02,7174,6744,0.94,105,计划,夜班
WO00564,2025-07,2025-07-08,2025-07-22,FWD504WR,产线-08,516,501,0.97,1,已完成,早班
WO00565,2024-12,2024-12-04,2024-12-15,FWD205,产线-03,1571,1398,0.89,17,已完成,夜班
WO00566,2025-05,2025-05-21,2025-05-25,FWDV040,产线-03,5795,5621,0.97,18,生产中,中班
WO00567,2025-08,2025-08-02,2025-08-16,FWDD23M,产线-06,5455,4473,0.82,79,已完成,早班
WO00568,2025-08,2025-08-11,2025-08-18,FWD325,产线-04,1834,1742,0.95,2,计划,早班
WO00569,2025-11,2025-11-14,2025-11-28,FWD405B,产线-01,3792,3413,0.9,64,已完成,夜班
WO00570,2025-04,2025-04-09,2025-04-17,FWD323M,产线-07,4928,4090,0.83,59,已完成,夜班
WO00571,2025-07,2025-07-14,2025-07-27,FWD5874A,产线-01,4904,4021,0.82,72,已完成,夜班
WO00572,2025-01,2025-01-20,2025-01-23,FWD506,产线-01,1912,1625,0.85,25,生产中,夜班
WO00573,2025-02,2025-02-14,2025-02-16,FWD6601A,产线-08,3910,3284,0.84,9,计划,夜班
WO00574,2025-10,2025-10-18,2025-10-25,FWD361,产线-04,7598,6534,0.86,61,计划,早班
WO00575,2025-10,2025-10-14,2025-10-16,FWD7351,产线-04,1424,1282,0.9,23,生产中,夜班
WO00576,2025-09,2025-09-20,2025-09-27,FWD6205,产线-03,6046,5260,0.87,82,已完成,夜班
WO00577,2025-02,2025-02-12,2025-02-18,FWD408,产线-05,6260,5258,0.84,9,生产中,早班
WO00578,2025-04,2025-04-25,2025-05-08,FWD6163,产线-08,6997,6787,0.97,47,已完成,夜班
WO00579,2025-03,2025-03-26,2025-03-31,FWDD29L,产线-02,901,811,0.9,17,已完成,夜班
WO00580,2024-11,2024-11-08,2024-11-15,FWD5518WR,产线-04,1400,1330,0.95,6,已完成,中班
WO00581,2025-11,2025-11-04,2025-11-12,BHC89235G,产线-03,3646,3318,0.91,50,已完成,中班
WO00582,2025-07,2025-07-12,2025-07-25,FWDV060,产线-02,7502,6227,0.83,51,已完成,早班
WO00583,2025-08,2025-08-07,2025-08-11,FWD3112,产线-01,757,636,0.84,7,已完成,中班
WO00584,2025-01,2025-01-24,2025-01-31,FWD307,产线-02,6273,5332,0.85,102,已完成,中班
WO00585,2025-08,2025-08-08,2025-08-18,FWD400B,产线-08,1168,1040,0.89,6,已完成,夜班
WO00586,2025-06,2025-06-18,2025-06-24,FWD223,产线-02,2151,1785,0.83,4,计划,夜班
WO00587,2025-11,2025-11-12,2025-11-25,FWDV080,产线-07,1462,1330,0.91,21,已完成,夜班
WO00588,2024-12,2024-12-11,2024-12-24,FWD173,产线-08,1852,1778,0.96,29,生产中,早班
WO00589,2024-11,2024-11-08,2024-11-20,BHC9338GR,产线-05,1576,1544,0.98,14,已完成,早班
WO00590,2025-08,2025-08-09,2025-08-10,FWD231WR,产线-01,5074,5023,0.99,34,生产中,中班
WO00591,2025-10,2025-10-26,2025-10-30,FWD101WR,产线-08,5303,4508,0.85,2,已完成,早班
WO00592,2025-04,2025-04-23,2025-05-05,FWD122,产线-06,5431,4453,0.82,14,已完成,早班
WO00593,2025-09,2025-09-07,2025-09-08,FWD524WR,产线-03,2338,2151,0.92,33,已完成,中班
WO00594,2025-03,2025-03-22,2025-04-02,BHC9232MGH,产线-01,862,741,0.86,13,已完成,中班
WO00595,2025-08,2025-08-25,2025-08-29,FWD6602E,产线-02,7750,7595,0.98,49,已完成,早班
WO00596,2025-05,2025-05-06,2025-05-16,FWDV550,产线-02,2927,2459,0.84,36,已完成,早班
WO00597,2025-09,2025-09-05,2025-09-09,FWD524,产线-05,6733,6262,0.93,67,生产中,早班
WO00598,2024-10,2024-10-14,2024-10-15,FWD111,产线-07,523,507,0.97,3,计划,中班
WO00599,2025-02,2025-02-19,2025-03-01,FWD491,产线-08,5384,5330,0.99,78,已完成,中班
WO00600,2024-12,2024-12-21,2025-01-02,BHC9328GR,产线-02,4507,4237,0.94,64,已完成,夜班
WO00601,2025-04,2025-04-27,2025-04-29,BHC9325BR,产线-05,631,581,0.92,4,已完成,早班
WO00602,2025-04,2025-04-19,2025-04-25,FWD5873A,产线-06,1327,1234,0.93,4,计划,早班
WO00603,2025-07,2025-07-07,2025-07-14,FWDV040,产线-06,204,177,0.87,0,已完成,夜班
WO00604,2025-05,2025-05-06,2025-05-14,BHC9326BM ,产线-01,6425,5718,0.89,71,已完成,早班
WO00605,2024-12,2024-12-01,2024-12-08,BHC89237BG,产线-05,5286,4705,0.89,65,已完成,夜班
WO00606,2025-09,2025-09-28,2025-09-30,FWD534WR,产线-02,379,318,0.84,0,已完成,夜班
WO00607,2025-03,2025-03-24,2025-03-26,FWD225WR,产线-05,6750,6682,0.99,92,已完成,中班
WO00608,2025-11,2025-11-11,2025-11-21,FWD224,产线-07,6661,5595,0.84,6,已完成,中班
WO00609,2025-08,2025-08-23,2025-08-25,FWD119,产线-03,1888,1850,0.98,23,已完成,早班
WO00610,2025-09,2025-09-15,2025-09-21,FWD532,产线-08,6574,5522,0.84,126,生产中,夜班
WO00611,2024-11,2024-11-06,2024-11-19,FWD407,产线-01,2731,2594,0.95,45,计划,中班
WO00612,2025-03,2025-03-11,2025-03-17,FWD111MT,产线-05,2711,2359,0.87,5,计划,早班
WO00613,2024-10,2024-10-22,2024-11-05,FWD5870D,产线-05,5692,5635,0.99,101,已完成,夜班
WO00614,2025-08,2025-08-15,2025-08-29,FWDV080B,产线-04,5855,4684,0.8,63,计划,早班
WO00615,2024-12,2024-12-03,2024-12-04,FWD123,产线-04,4923,4874,0.99,56,已完成,夜班
WO00616,2025-08,2025-08-28,2025-09-01,FWD6810,产线-04,5359,5145,0.96,60,已完成,早班
WO00617,2024-12,2024-12-16,2024-12-20,FWD6005T,产线-03,4839,3920,0.81,21,已完成,夜班
WO00618,2025-01,2025-01-21,2025-01-26,FWD217,产线-01,6678,6544,0.98,5,计划,夜班
WO00619,2025-11,2025-11-04,2025-11-17,FWD5800A,产线-03,2566,2386,0.93,12,已完成,夜班
WO00620,2025-08,2025-08-18,2025-08-31,FWD123,产线-07,3366,3265,0.97,38,已完成,中班
WO00621,2025-05,2025-05-05,2025-05-13,FWD509,产线-02,3262,3001,0.92,37,已完成,早班
WO00622,2025-10,2025-10-16,2025-10-29,FWD416,产线-06,395,387,0.98,7,已完成,夜班
WO00623,2025-04,2025-04-11,2025-04-14,FWD508WR,产线-07,2943,2708,0.92,51,生产中,早班
WO00624,2025-11,2025-11-24,2025-12-03,FWDD23M,产线-01,5513,5292,0.96,71,已完成,夜班
WO00625,2025-10,2025-10-17,2025-10-20,FWD7305,产线-07,5191,4257,0.82,34,已完成,中班
WO00626,2024-11,2024-11-17,2024-11-22,FWD3504,产线-02,4424,4380,0.99,25,已完成,早班
WO00627,2025-10,2025-10-18,2025-10-30,FWD301,产线-08,1476,1358,0.92,2,已完成,中班
WO00628,2025-01,2025-01-02,2025-01-08,FWD5870D,产线-05,6395,5500,0.86,27,已完成,夜班
WO00629,2025-06,2025-06-03,2025-06-16,FWD215WR,产线-05,4231,3469,0.82,21,已完成,夜班
WO00630,2025-01,2025-01-20,2025-01-23,FWD6840,产线-06,3938,3741,0.95,64,计划,夜班
WO00631,2025-06,2025-06-05,2025-06-17,FWD225,产线-08,1254,1216,0.97,7,已完成,早班
WO00632,2025-11,2025-11-08,2025-11-22,FWD425B,产线-03,1642,1478,0.9,8,已完成,早班
WO00633,2025-07,2025-07-02,2025-07-14,FWD534WR,产线-07,5629,5122,0.91,84,生产中,早班
WO00634,2025-03,2025-03-10,2025-03-20,FWD351,产线-08,5730,5444,0.95,105,计划,早班
WO00635,2024-12,2024-12-18,2024-12-30,FWD353,产线-05,693,582,0.84,5,计划,中班
WO00636,2024-12,2024-12-10,2024-12-22,FWD525WR,产线-05,3955,3836,0.97,3,计划,中班
WO00637,2025-10,2025-10-04,2025-10-07,FWD302WR,产线-08,3617,3255,0.9,47,生产中,中班
WO00638,2025-01,2025-01-09,2025-01-10,FWD351WR,产线-03,3379,3075,0.91,46,已完成,早班
WO00639,2025-02,2025-02-07,2025-02-18,FWD235WR,产线-05,2259,2169,0.96,22,生产中,夜班
WO00640,2025-04,2025-04-01,2025-04-02,FWD6502A,产线-03,6771,6297,0.93,115,已完成,夜班
WO00641,2025-07,2025-07-18,2025-07-29,FWD6003,产线-08,3551,2912,0.82,3,计划,夜班
WO00642,2025-09,2025-09-26,2025-10-07,FWD163,产线-05,453,385,0.85,5,已完成,中班
WO00643,2025-08,2025-08-16,2025-08-20,FWD500,产线-05,2074,2053,0.99,11,已完成,早班
WO00644,2025-04,2025-04-13,2025-04-22,FWD419B,产线-01,3861,3166,0.82,8,生产中,夜班
WO00645,2025-03,2025-03-16,2025-03-25,FWDD27L,产线-08,3658,3073,0.84,63,生产中,夜班
WO00646,2025-01,2025-01-18,2025-01-20,FWD6002,产线-05,7270,6834,0.94,30,生产中,中班
WO00647,2024-12,2024-12-16,2024-12-22,FWDV015,产线-02,1196,1052,0.88,19,已完成,夜班
WO00648,2024-12,2024-12-26,2025-01-08,FWD6840,产线-05,4583,4262,0.93,25,计划,早班
WO00649,2025-05,2025-05-18,2025-05-28,FWD5872C,产线-04,3182,2959,0.93,9,生产中,中班
WO00650,2025-06,2025-06-06,2025-06-20,BHC89232BR,产线-02,4256,3745,0.88,7,已完成,中班
WO00651,2025-07,2025-07-18,2025-07-19,FWD419B,产线-03,6625,6294,0.95,87,已完成,中班
WO00652,2025-06,2025-06-23,2025-06-29,FWD151WR,产线-06,7399,6955,0.94,26,计划,中班
WO00653,2024-11,2024-11-14,2024-11-18,FWD6850,产线-03,3305,3173,0.96,46,已完成,中班
WO00654,2025-01,2025-01-19,2025-01-21,FWDV080,产线-01,5767,5652,0.98,112,已完成,早班
WO00655,2025-06,2025-06-16,2025-06-18,FWD6303,产线-07,1906,1811,0.95,35,已完成,早班
WO00656,2024-12,2024-12-10,2024-12-14,FWD421,产线-01,5422,5042,0.93,75,已完成,早班
WO00657,2025-09,2025-09-22,2025-10-04,BHC9328GR,产线-01,4018,3375,0.84,17,已完成,早班
WO00658,2025-10,2025-10-16,2025-10-19,FWD421,产线-03,4372,3847,0.88,29,已完成,早班
WO00659,2025-01,2025-01-22,2025-01-24,FWD111,产线-03,6265,5137,0.82,54,已完成,中班
WO00660,2024-12,2024-12-03,2024-12-17,FWD225WR,产线-02,2691,2368,0.88,24,已完成,中班
WO00661,2024-12,2024-12-26,2024-12-30,FWD6007,产线-05,5262,4578,0.87,22,生产中,中班
WO00662,2024-10,2024-10-02,2024-10-10,FWD303,产线-08,4321,3889,0.9,38,已完成,早班
WO00663,2025-05,2025-05-12,2025-05-19,FWD6830,产线-07,1669,1602,0.96,12,计划,夜班
WO00664,2024-10,2024-10-28,2024-10-29,FWD231WR,产线-03,1782,1764,0.99,5,已完成,夜班
WO00665,2025-09,2025-09-21,2025-10-01,FWD211WR,产线-07,652,645,0.99,2,已完成,夜班
WO00666,2024-10,2024-10-14,2024-10-27,FWDV020,产线-01,2101,1954,0.93,7,已完成,中班
WO00667,2025-01,2025-01-25,2025-02-05,FWD96107SW,产线-07,3068,2546,0.83,17,已完成,中班
WO00668,2025-02,2025-02-25,2025-03-07,FWD231,产线-08,5076,5076,1.0,8,已完成,早班
WO00669,2025-07,2025-07-24,2025-08-01,FWDD23X,产线-04,6906,6768,0.98,58,已完成,中班
WO00670,2025-01,2025-01-22,2025-01-23,FWD5870D,产线-01,3315,3216,0.97,38,已完成,早班
WO00671,2025-04,2025-04-17,2025-04-23,FWD307,产线-01,2720,2339,0.86,35,生产中,夜班
WO00672,2025-06,2025-06-08,2025-06-14,BHC9328GR,产线-06,5670,5160,0.91,12,已完成,夜班
WO00673,2025-07,2025-07-20,2025-07-21,FWD2205G,产线-02,381,335,0.88,5,计划,中班
WO00674,2025-06,2025-06-20,2025-06-29,FWD303WR,产线-07,1556,1447,0.93,3,计划,中班
WO00675,2025-04,2025-04-06,2025-04-15,FWD506,产线-05,3081,2804,0.91,47,计划,夜班
WO00676,2025-08,2025-08-12,2025-08-19,FWD552,产线-08,3468,3052,0.88,22,已完成,早班
WO00677,2025-06,2025-06-02,2025-06-13,FWDV040B,产线-01,6120,5263,0.86,82,已完成,中班
WO00678,2025-04,2025-04-14,2025-04-15,FWDV040,产线-04,3212,2987,0.93,39,已完成,中班
WO00679,2025-06,2025-06-07,2025-06-12,FWD001,产线-04,4473,4249,0.95,0,已完成,中班
WO00680,2024-11,2024-11-06,2024-11-15,FWD6224,产线-06,2936,2819,0.96,53,已完成,夜班
WO00681,2025-01,2025-01-03,2025-01-07,FWDV080,产线-05,6547,6416,0.98,47,已完成,早班
WO00682,2025-08,2025-08-28,2025-09-06,FWD415Y,产线-02,6480,6026,0.93,9,计划,夜班
WO00683,2025-06,2025-06-21,2025-06-25,BHC9320YB,产线-04,6374,6119,0.96,44,已完成,夜班
WO00684,2025-01,2025-01-05,2025-01-16,FWD320,产线-02,855,838,0.98,0,生产中,中班
WO00685,2024-12,2024-12-23,2025-01-02,FWD6603B,产线-03,7719,6947,0.9,135,计划,中班
WO00686,2025-05,2025-05-17,2025-05-31,FWDD23X,产线-07,5778,4738,0.82,71,已完成,夜班
WO00687,2025-02,2025-02-05,2025-02-17,FWD429,产线-07,7454,6112,0.82,9,计划,早班
WO00688,2024-11,2024-11-07,2024-11-09,FWD500,产线-03,5351,4602,0.86,88,已完成,早班
WO00689,2025-11,2025-11-01,2025-11-06,FWD151WR,产线-07,3965,3846,0.97,77,已完成,中班
WO00690,2025-09,2025-09-04,2025-09-06,BHC9320YB,产线-03,7870,7004,0.89,55,已完成,中班
WO00691,2025-01,2025-01-18,2025-01-29,FWD8205WR,产线-08,4769,4721,0.99,94,已完成,早班
WO00692,2025-01,2025-01-19,2025-01-23,FWD301,产线-08,5541,5153,0.93,63,已完成,中班
WO00693,2025-05,2025-05-11,2025-05-21,FWD201,产线-05,3716,3047,0.82,65,已完成,夜班
WO00694,2025-02,2025-02-12,2025-02-14,FWD427,产线-05,5629,4672,0.83,35,已完成,中班
WO00695,2025-02,2025-02-01,2025-02-13,FWD306,产线-08,685,610,0.89,4,计划,夜班
WO00696,2024-11,2024-11-20,2024-11-27,FWD152,产线-08,373,358,0.96,6,已完成,夜班
WO00697,2025-02,2025-02-27,2025-03-05,FWD259,产线-02,5531,4812,0.87,49,已完成,夜班
WO00698,2025-09,2025-09-22,2025-09-30,FWD6830,产线-02,6091,5299,0.87,78,生产中,夜班
WO00699,2025-10,2025-10-10,2025-10-19,FWD330,产线-05,3966,3728,0.94,45,已完成,夜班
WO00700,2025-10,2025-10-05,2025-10-13,BHC9323PG,产线-04,5659,4754,0.84,64,已完成,早班
WO00701,2025-10,2025-10-28,2025-11-09,FWD5800,产线-04,3292,3160,0.96,20,已完成,中班
WO00702,2025-11,2025-11-11,2025-11-21,BHC9237GRH,产线-04,4645,4459,0.96,86,已完成,中班
WO00703,2025-01,2025-01-26,2025-01-28,FWD249,产线-04,464,427,0.92,4,生产中,夜班
WO00704,2025-08,2025-08-28,2025-09-01,FWD201WR,产线-02,290,235,0.81,2,已完成,中班
WO00705,2025-11,2025-11-05,2025-11-08,FWD303WR,产线-08,6586,5862,0.89,101,已完成,中班
WO00706,2024-11,2024-11-18,2024-11-22,FWD6820,产线-02,5614,4547,0.81,85,已完成,中班
WO00707,2025-01,2025-01-26,2025-01-31,FWD6601A,产线-06,7192,6113,0.85,22,已完成,早班
WO00708,2025-04,2025-04-26,2025-04-28,FWD505,产线-07,1785,1606,0.9,4,已完成,夜班
WO00709,2025-06,2025-06-01,2025-06-10,FWD7331,产线-06,4985,4138,0.83,33,已完成,中班
WO00710,2025-10,2025-10-10,2025-10-19,FWD6300,产线-08,6497,5912,0.91,61,计划,夜班
WO00711,2024-10,2024-10-22,2024-10-27,FWD6883,产线-05,6503,5463,0.84,4,计划,中班
WO00712,2025-07,2025-07-20,2025-07-28,FWD302WR,产线-06,940,921,0.98,11,已完成,中班
WO00713,2025-10,2025-10-16,2025-10-21,FWD411,产线-01,6421,5715,0.89,68,计划,早班
WO00714,2025-07,2025-07-01,2025-07-11,FWD6235,产线-05,6931,6377,0.92,64,已完成,早班
WO00715,2025-03,2025-03-14,2025-03-20,FWD217,产线-08,3252,2829,0.87,14,生产中,早班
WO00716,2025-06,2025-06-25,2025-07-07,FWD4012,产线-04,1325,1126,0.85,21,已完成,早班
WO00717,2025-05,2025-05-18,2025-05-24,FWD413,产线-08,7297,5984,0.82,113,计划,中班
WO00718,2025-10,2025-10-02,2025-10-13,HM010AS,产线-06,1583,1314,0.83,17,已完成,早班
WO00719,2025-05,2025-05-16,2025-05-30,FWD6300T,产线-01,7734,6419,0.83,36,生产中,夜班
WO00720,2024-12,2024-12-04,2024-12-14,BHC89234BG,产线-03,4799,3887,0.81,38,已完成,夜班
WO00721,2025-05,2025-05-16,2025-05-22,FWD5519,产线-07,4620,4066,0.88,82,已完成,中班
WO00722,2025-02,2025-02-11,2025-02-21,FWDD25L,产线-05,4582,4261,0.93,79,生产中,中班
WO00723,2024-11,2024-11-13,2024-11-14,FWD121WR,产线-05,353,321,0.91,7,已完成,中班
WO00724,2025-08,2025-08-05,2025-08-07,FWD6002,产线-02,1241,1167,0.94,22,已完成,中班
WO00725,2024-10,2024-10-27,2024-10-30,FWD522,产线-01,5853,5326,0.91,57,已完成,早班
WO00726,2025-10,2025-10-09,2025-10-23,FWD201WR,产线-05,5854,5386,0.92,18,生产中,早班
WO00727,2025-02,2025-02-01,2025-02-13,FWD5518WR,产线-06,4552,4233,0.93,30,已完成,中班
WO00728,2025-03,2025-03-19,2025-03-31,FWD103TWR,产线-05,4750,4655,0.98,88,已完成,早班
WO00729,2024-12,2024-12-25,2025-01-04,FWD221,产线-02,6978,6001,0.86,116,计划,早班
WO00730,2025-04,2025-04-08,2025-04-13,FWD5519WR,产线-01,2958,2810,0.95,18,已完成,夜班
WO00731,2024-10,2024-10-14,2024-10-17,FWDV150B,产线-03,2146,1974,0.92,15,计划,早班
WO00732,2025-10,2025-10-28,2025-11-11,FWD6910,产线-07,3496,3111,0.89,20,已完成,早班
WO00733,2025-07,2025-07-26,2025-07-31,FWD6884,产线-06,4984,4635,0.93,6,生产中,夜班
WO00734,2025-06,2025-06-09,2025-06-22,FWD101,产线-03,5618,5393,0.96,94,计划,中班
WO00735,2025-03,2025-03-20,2025-03-27,FWD303,产线-03,869,782,0.9,3,已完成,早班
WO00736,2024-10,2024-10-01,2024-10-10,FWD5519,产线-01,6632,5505,0.83,98,生产中,夜班
WO00737,2025-06,2025-06-14,2025-06-18,FWDV095B,产线-02,5894,4892,0.83,16,生产中,中班
WO00738,2025-03,2025-03-18,2025-03-29,FWD7352,产线-03,2732,2295,0.84,50,已完成,早班
WO00739,2025-02,2025-02-26,2025-03-05,BHC9234BOH,产线-08,6397,5246,0.82,7,已完成,中班
WO00740,2025-09,2025-09-10,2025-09-14,FWDV220,产线-04,3691,3174,0.86,67,已完成,中班
WO00741,2025-05,2025-05-10,2025-05-15,FWD435,产线-08,4246,3949,0.93,48,计划,中班
WO00742,2025-09,2025-09-11,2025-09-18,FWD323M,产线-03,881,758,0.86,9,已完成,中班
WO00743,2025-03,2025-03-17,2025-03-24,BHC9327GP,产线-03,259,233,0.9,0,生产中,夜班
WO00744,2025-09,2025-09-04,2025-09-10,FWD429,产线-07,1753,1700,0.97,19,已完成,中班
WO00745,2025-07,2025-07-04,2025-07-15,FWD6235,产线-04,2928,2869,0.98,12,计划,中班
WO00746,2025-02,2025-02-28,2025-03-01,BHC9320YB,产线-08,4606,4376,0.95,56,已完成,夜班
WO00747,2024-10,2024-10-13,2024-10-22,FWD6500,产线-04,5221,4229,0.81,37,已完成,早班
WO00748,2025-05,2025-05-19,2025-05-29,FWD101WR,产线-08,5660,5377,0.95,56,已完成,夜班
WO00749,2024-11,2024-11-18,2024-11-27,FWD6501,产线-05,7056,6985,0.99,49,生产中,中班
WO00750,2025-04,2025-04-25,2025-04-28,FWDV150B,产线-07,1429,1272,0.89,9,已完成,夜班
WO00751,2025-10,2025-10-19,2025-10-22,FWD6007,产线-05,1941,1883,0.97,9,生产中,夜班
WO00752,2024-11,2024-11-26,2024-12-01,FWD307,产线-02,1987,1649,0.83,35,计划,夜班
WO00753,2025-11,2025-11-08,2025-11-11,FWD6601A,产线-06,1364,1173,0.86,12,已完成,夜班
WO00754,2025-02,2025-02-02,2025-02-09,FWD6219,产线-08,4537,4129,0.91,38,计划,中班
WO00755,2025-04,2025-04-11,2025-04-17,BHC9233POH,产线-04,5085,5034,0.99,7,已完成,中班
WO00756,2025-10,2025-10-20,2025-11-03,FWDD21X,产线-08,4492,4357,0.97,15,已完成,夜班
WO00757,2024-11,2024-11-04,2024-11-09,FWD500,产线-04,1016,925,0.91,7,生产中,中班
WO00758,2025-03,2025-03-24,2025-03-30,FWD6830,产线-05,488,439,0.9,1,已完成,早班
WO00759,2025-09,2025-09-04,2025-09-10,FWD211,产线-08,3427,3050,0.89,28,计划,早班
WO00760,2024-11,2024-11-23,2024-11-30,FWDD21M,产线-02,4486,4307,0.96,44,生产中,早班
WO00761,2025-01,2025-01-28,2025-02-05,FWD219,产线-08,7110,6897,0.97,1,已完成,早班
WO00762,2025-04,2025-04-19,2025-04-30,FWD6300,产线-05,1485,1470,0.99,14,已完成,夜班
WO00763,2025-10,2025-10-22,2025-10-23,FWD3112,产线-06,3332,2899,0.87,5,已完成,早班
WO00764,2025-03,2025-03-09,2025-03-15,FWD5800A,产线-04,3196,3164,0.99,51,已完成,夜班
WO00765,2025-09,2025-09-27,2025-10-07,FWD5519,产线-08,1568,1427,0.91,23,已完成,中班
WO00766,2024-11,2024-11-28,2024-12-07,FWDV150,产线-03,282,243,0.86,2,已完成,早班
WO00767,2025-07,2025-07-02,2025-07-07,FWD6009,产线-04,6486,5773,0.89,32,生产中,中班
WO00768,2025-08,2025-08-13,2025-08-15,FWD3500,产线-03,1610,1594,0.99,0,已完成,中班
WO00769,2025-09,2025-09-24,2025-09-29,FWD304,产线-03,639,594,0.93,11,已完成,中班
WO00770,2024-10,2024-10-14,2024-10-19,BHC9235BVH,产线-03,7337,7044,0.96,25,已完成,夜班
WO00771,2025-09,2025-09-12,2025-09-22,FWD6885,产线-03,1171,1124,0.96,4,生产中,中班
WO00772,2025-10,2025-10-19,2025-10-29,FWDV060B,产线-07,5812,5405,0.93,21,生产中,中班
WO00773,2024-10,2024-10-11,2024-10-14,FWD7322B,产线-03,5559,5170,0.93,52,已完成,中班
WO00774,2025-09,2025-09-02,2025-09-13,BHC9227GOH,产线-04,7382,7234,0.98,70,计划,夜班
WO00775,2024-12,2024-12-16,2024-12-23,FWDV220,产线-01,1131,1018,0.9,15,已完成,中班
WO00776,2024-12,2024-12-27,2025-01-04,FWDD21L,产线-05,5147,4941,0.96,7,已完成,早班
WO00777,2025-08,2025-08-03,2025-08-17,FWD6603B,产线-01,3757,3043,0.81,55,已完成,中班
WO00778,2025-06,2025-06-19,2025-07-01,FWD6910,产线-01,5774,5197,0.9,95,生产中,夜班
WO00779,2025-11,2025-11-21,2025-12-03,FWD491,产线-02,6711,5704,0.85,20,已完成,中班
WO00780,2024-11,2024-11-01,2024-11-09,FWD151,产线-02,2854,2797,0.98,10,已完成,夜班
